GEO,CROPS,STRUCPRO\TIME	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
United Kingdom,Wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Montenegro,Wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
North Macedonia,Wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Albania,Wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Serbia,Wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Turkey,Wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Bosnia and Herzegovina,Wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Kosovo (under United Nations Security Council Resolution 1244/99),Wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020),Wheat and spelt,EU standard humidity (%)	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00
European Union - 27 countries (from 2020),Wheat and spelt,EU standard humidity (%)	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00
European Union - 28 countries (2013-2020),Wheat and spelt,EU standard humidity (%)	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	:	:
Belgium,Wheat and spelt,EU standard humidity (%)	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	:
Bulgaria,Wheat and spelt,EU standard humidity (%)	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00
Czechia,Wheat and spelt,EU standard humidity (%)	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00
Denmark,Wheat and spelt,EU standard humidity (%)	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00
Germany (until 1990 former territory of the FRG),Wheat and spelt,EU standard humidity (%)	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00
Estonia,Wheat and spelt,EU standard humidity (%)	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	:
Ireland,Wheat and spelt,EU standard humidity (%)	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00
Greece,Wheat and spelt,EU standard humidity (%)	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00
Spain,Wheat and spelt,EU standard humidity (%)	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00
France,Wheat and spelt,EU standard humidity (%)	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00
Croatia,Wheat and spelt,EU standard humidity (%)	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00
