,date,dateRelease,shapeId,comdty,param,value
236,2012-01-01,2021-09-23,Norway,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),67.0
237,2012-01-01,2021-09-23,Switzerland,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),89.1
238,2012-01-01,2021-09-23,United Kingdom,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),1992.0
239,2012-01-01,2021-09-23,Montenegro,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),0.52
240,2012-01-01,2021-09-23,North Macedonia,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),79.75
241,2012-01-01,2021-09-23,Albania,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),73.2
242,2012-01-01,2021-09-23,Serbia,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),603.27
243,2012-01-01,2021-09-23,Turkey,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),6344.0
244,2012-01-01,2021-09-23,Bosnia and Herzegovina,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),61.07
245,2012-01-01,2021-09-23,Kosovo (under United Nations Security Council Resolution 1244/99),Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha),102.9
246,2012-01-01,2021-09-23,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",Common wheat and spelt,Harvested production in EU standard humidity (1000 t),124442.99
247,2012-01-01,2021-09-23,European Union - 27 countries (from 2020),Common wheat and spelt,Harvested production in EU standard humidity (1000 t),112264.28
248,2012-01-01,2021-09-23,European Union - 28 countries (2013-2020),Common wheat and spelt,Harvested production in EU standard humidity (1000 t),125448.18
249,2012-01-01,2021-09-23,Belgium,Common wheat and spelt,Harvested production in EU standard humidity (1000 t),1821.8
250,2012-01-01,2021-09-23,Bulgaria,Common wheat and spelt,Harvested production in EU standard humidity (1000 t),4548.32
251,2012-01-01,2021-09-23,Czechia,Common wheat and spelt,Harvested production in EU standard humidity (1000 t),3518.9
252,2012-01-01,2021-09-23,Denmark,Common wheat and spelt,Harvested production in EU standard humidity (1000 t),4472.48
253,2012-01-01,2021-09-23,Germany (until 1990 former territory of the FRG),Common wheat and spelt,Harvested production in EU standard humidity (1000 t),22351.8
254,2012-01-01,2021-09-23,Estonia,Common wheat and spelt,Harvested production in EU standard humidity (1000 t),484.7
255,2012-01-01,2021-09-23,Ireland,Common wheat and spelt,Harvested production in EU standard humidity (1000 t),656.22
256,2012-01-01,2021-09-23,Greece,Common wheat and spelt,Harvested production in EU standard humidity (1000 t),497.89
257,2012-01-01,2021-09-23,Spain,Common wheat and spelt,Harvested production in EU standard humidity (1000 t),4881.22
